country,to_review,suggested_standard,n1,n2,dist,standard
China,Chengbei Qu,Changyi Qu,12,12,0.157575758,
China,Chenggong Qu,Changan Qu,12,12,0.177777778,
China,Chengguan Qu,Cheng Guan Qu,12,12,0.13966589,
China,Chenghai Qu,Chengbei Qu,12,12,0.121212121,
China,Chenghua Qu,Chenghai Qu,12,12,0.127272727,
China,Chengqu,Chengxi Qu,6,12,0.180952381,
China,Chengxi Qu,Changyi Qu,12,12,0.133333333,
China,Chengxiang,Chongqing,12,50,0.174074074,
China,Chengxiang District,Chengbei District,12,6,0.109391125,
China,Chengxiang Qu,Chengguan Qu,12,12,0.124514375,
China,Chengyang District,Beita District,12,12,0.201058201,
China,Chengzhong District Liuzhou,Chengyang District,12,6,0.172839506,
China,"Chengzhong District, Liuzhou",Chengyang District,12,6,0.17989418,
China,Chenzhou,Changzhou,48,17,0.115740741,
China,Chiayi City,Chiayi,16,3,0.151515152,
China,Chifeng,Chengde,44,42,0.19047619,
China,Chifeng Shi,Chifeng,42,6,0.121212121,
China,Chikan Qu,Changyi Qu,12,12,0.166203704,
China,Chizhou,Changzhou,48,28,0.158730159,
China,Chizhou Shi,Changzhou Shi,6,6,0.107226107,
China,Chong Chuan Qu,Cheng Guan Qu,12,6,0.122710623,
China,Chongchuan Qu,Chenghua Qu,12,12,0.107226107,
China,Chongli Qu,Changyi Qu,12,12,0.133333333,
China,Chongqing Shi,Chongqing,50,6,0.102564103,
China,Chongzuo,Changzhou,48,18,0.163359788,
China,Chongzuo Shi,Chongzuo,18,6,0.111111111,
China,Chuan Sha,Changsha,48,12,0.194444444,
China,Chuanhui Qu,Changzhou Qu,24,24,0.143939394,
China,Chuanshan,Changsha,48,12,0.115740741,
China,Chuanshan District,Chuanshan,12,12,0.166666667,
China,Chuanshan Qu,Changan Qu,12,12,0.116666667,
China,Chuanying Qu,Changyi Qu,12,12,0.105555556,
China,Chuxiong,Chifeng,42,29,0.220238095,
China,Chuxiong Shi,Chuxiong,29,12,0.111111111,
China,Chuzhou,Changzhou,48,26,0.158730159,
China,Chuzhou Shi,Chuzhou,26,12,0.121212121,
China,Conghua Qu,Tongchuan Qu,12,24,0.116666667,
China,Congtai Qu,Chongli Qu,12,12,0.133333333,
China,Cuiping,Siping,6,20,0.150793651,
China,Cuiping District,Qixing District,6,12,0.106944444,
China,Cuiping Qu,Muping Qu,6,12,0.14537037,
China,Da Tong Qu,Hualong Qu,12,24,0.2,
China,Daan Qu,Caidian Qu,12,12,0.180952381,
China,Daguan Qu,Dachuan Qu,24,24,0.103703704,
China,Dali,Dalian,24,47,0.111111111,
China,Dali Shi,Dali,24,12,0.166666667,
China,Dalian Shi,Dalian,47,6,0.133333333,
China,Dandong,Nantong,37,46,0.19047619,
China,Danjiangkou,Zhangjiakou,24,43,0.195286195,
China,Danlong Road,Shuanglin Road,6,12,0.200793651,
China,Dantu Qu,Daguan Qu,24,12,0.163359788,
China,Daoli,Dalian,47,6,0.177777778,
China,Daoli District,Louxing District,6,12,0.175595238,
China,Daoli Qu,Dongli Qu,6,12,0.115740741,
China,Daqing,Zhaoqing,35,43,0.180555556,
China,Datong Qu,Datong,39,6,0.111111111,
China,Datong Shi,Datong,39,6,0.133333333,
China,Dawa Qu,Zhangwan Qu,12,24,0.199134199,
China,Daxiang,Dalian,47,12,0.150793651,
China,Daxiang District,Louxing District,6,12,0.125,
China,Daxiang Qu,Daguan Qu,24,12,0.166203704,
China,Daye Shi,Dali Shi,12,12,0.166666667,
China,Dazhou,Dezhou,20,39,0.111111111,
China,Decheng Qu,Beichen Qu,12,12,0.133333333,
China,Dehong,Decheng Qu,12,12,0.222222222,
China,Delingha Shi,Xichang Shi,12,24,0.218013468,
China,Deyang,Anyang,40,39,0.222222222,
China,Dezhou,Wenzhou,39,47,0.150793651,
China,Dezhou Shi,Dezhou,39,6,0.133333333,
China,Dianbai Qu,Daan Qu,12,12,0.147619048,
China,Dianjun Qu,Dantu Qu,12,6,0.141666667,
China,Diecai District,Caidian District,12,12,0.177777778,
China,Dingcheng Qu,Longcheng Qu,12,24,0.111111111,
China,Dinghai Qu,Dongshan Qu,12,24,0.157575758,
China,Dinghu Qu,Binhu Qu,24,12,0.115740741,
China,Dingxi,Xiangxi,20,23,0.150793651,
China,Dingxi Shi,Dingxi,20,6,0.133333333,
China,Diqing,Daqing,35,21,0.177777778,
China,Diqing Zangzu Zizhizhou,Diqing,21,12,0.246376812,
China,Dongan Qu,Longyang Qu,12,24,0.127946128,
China,Dongbao,Dongguan,12,47,0.220238095,
China,Dongbao District,Dongbao,12,12,0.1875,
China,Dongbao Qu,Dongan Qu,12,12,0.103703704,
China,Dongchang Qu,Dingcheng Qu,12,12,0.111111111,
China,Dongchangfu,Dongcheng Qu,6,12,0.143939394,
China,Dongchangfu District,Rongcheng District,6,12,0.103703704,
China,Dongchangfu Qu,Donghu Qu,6,12,0.119047619,
China,Dongcheng,Dongchangfu,6,6,0.127946128,
China,Dongcheng Qu,Dongshan Qu,12,24,0.143939394,
China,Dongfeng District,Dongbao District,12,12,0.140931373,
China,Donggang Qu,Dongshan Qu,12,24,0.121212121,
China,Dongguan Shi,Dongguan,47,6,0.111111111,
China,Donghe,Honghe,6,12,0.111111111,
China,Donghe District,Dongbao District,12,6,0.106944444,
China,Donghe Qu,Donghe,6,6,0.111111111,
China,Donghu Qu,Conghua Qu,12,12,0.103703704,
China,Dongli,Dongli Qu,6,12,0.111111111,
China,Dongli Qu,Chongli Qu,12,12,0.103703704,
China,Dongqu,Dongguan,47,12,0.180555556,
China,Dongshan Qu,Bengshan Qu,24,24,0.121212121,
China,Dongsheng Qu,Dingcheng Qu,12,12,0.111111111,
China,Dongxing Qu,Dongan Qu,12,12,0.127946128,
China,Dongying,Chongqing,50,38,0.194444444,
China,Dongying Qu,Gongjing Qu,6,12,0.121212121,
China,Dongzhou Qu,Yingzhou Qu,12,24,0.121212121,
China,Duanzhou,Guangzhou,6,62,0.115740741,
China,Duanzhou District,Donghe District,6,6,0.161337355,
China,Duanzhou Qu,Dongzhou Qu,12,6,0.121212121,
China,Duilongdeqing Qu,Dingcheng Qu,12,12,0.180555556,
China,Dujiangyan,Guangyuan,6,20,0.174074074,
China,Dujiangyan City,Dujiangyan,6,6,0.111111111,
China,Duodao Qu,Dongpo Qu,24,24,0.222222222,
China,Echeng Qu,Chengdu,56,24,0.243386243,
China,Enshi,Hengshui,35,44,0.233333333,
China,Enshi Shi,Enshi,35,12,0.148148148,
China,Erdao Qu,Karuo Qu,12,24,0.222222222,
China,Erdos,Eerduosi,31,19,0.125,
China,Erqi Qu,Keerqin Qu,12,24,0.180952381,
China,Ezhou,Dezhou,39,26,0.177777778,
China,Fancheng Qu,Yancheng,24,49,0.162878788,
China,Fangcheng Qu,Fancheng Qu,24,6,0.103535354,
China,Fangchenggang,Rongcheng,23,34,0.227920228,
China,Fangchenggang Shi,Fangcheng Qu,6,6,0.192810458,
China,Fangzi Qu,Changyi Qu,12,12,0.174074074,
China,Feixi Xian,Fengtai Xian,12,24,0.219444444,
China,Fengman Qu,Bengshan Qu,24,12,0.157575758,
China,Fengtai Qu,Congtai Qu,12,12,0.133333333,
China,Fengtai West Street,Fengtai East Street,12,12,0.13880289,
China,Fengze,Mengzi,6,24,0.222222222,
China,Fengze District,Xifeng District,6,12,0.133333333,
China,Fengze Qu,Fengze,6,6,0.111111111,
