Region;Country;City/station;concentrationPM10;YearPM10;AnnualmeanPM25;Yearpm25;nbLocations;Temporal coverage;Reference;Latitude;Longitude;convertedPM10;convertedPM25;yearMerged;version
AmrHI;United States of America;St. Louis, MO-IL;22;;13;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;State College, PA;19;;11;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Stockton, CA;21;;12;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Syracuse, NY;12;;7;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Talladega-Sylacauga, AL;17;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Tallahassee, FL;14;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Tampa-St. Petersburg-Clearwater, FL;13;;8;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Terre Haute, IN;19;;12;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Texarkana, TX-Texarkana, AR;18;;11;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Thomasville-Lexington, NC;17;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Toledo, OH;17;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Topeka, KS;14;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Torrington, CT;9;;6;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Trenton-Ewing, NJ;15;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Truckee-Grass Valley, CA;10;;6;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Tucson, AZ;10;;6;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Tulsa, OK;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Tupelo, MS;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Tuscaloosa, AL;16;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Ukiah, CA;12;;7;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
