country,to_review,suggested_standard,n1,n2,dist
Canada,Lac-Édouard,Lac Edouard,18,2,0.1212121212121211
Canada,Langdale,Langley,41,43,0.13095238095238093
Canada,Metro Vancouver,North Vancouver,2,40,0.11452991452991446
Canada,Milton,Hamilton,44,3,0.18055555555555558
Canada,Moncton,Edmonton,44,44,0.22023809523809523
Canada,Montreal,Mount Pearl,40,42,0.16287878787878796
Canada,Montréal,Mount Pearl,4,42,0.23484848484848486
Canada,Ottawa,Oshawa,44,44,0.22222222222222232
Canada,Port Alice,Port Alberni,41,2,0.1537037037037038
Canada,Prince Albert,Prince George,31,38,0.20512820512820518
Canada,Québec,Quebec,40,4,0.1777777777777778
Canada,Saint Anicet,Saint Andrews,27,15,0.1858974358974359
Canada,Saint Simon,Saint John,44,18,0.1575757575757576
Canada,Saint Zephirin De Courval,St Zepherin De Courval,6,12,0.16372294372294371
Canada,Saint-Anicet,Saint Andrews,27,14,0.23931623931623935
Canada,Saint-Simon,Saint John,44,18,0.2212121212121212
Canada,Saint-Zephirin-De-Courval,St-Zepherin-De-Courval,7,9,0.16372294372294371
Canada,St Andrews,Saint Andrews,27,6,0.14358974358974375
Canada,St. Albert,Port Alberni,41,9,0.23888888888888893
Canada,St. Andrews,Saint Andrews,27,9,0.17389277389277402
Canada,St. Zéphirin-De-Courval,St Zepherin De Courval,12,2,0.18862538427755815
Canada,Steeper,Senneterre,44,34,0.23650793650793656
Canada,Trois-Rivières,Trois Rivieres,18,4,0.12301587301587302
Canada,Valemount,Lamont,42,15,0.20370370370370372
Canada,Varennes,Vernon,13,38,0.24722222222222212
Canada,Wellington,Burlington,42,27,0.20000000000000007
Canada,West Vancouver,North Vancouver,40,13,0.16031746031746041
Canada,Whitehorse,Whistler,38,36,0.21666666666666667
Chile,Calama,Salamanca,10,34,0.20370370370370372
Chile,Concon,Concepcion,25,3,0.1333333333333333
Chile,Concón,Concon,3,2,0.11111111111111105
Chile,La Calera,La Florida,3,56,0.24444444444444446
Chile,La Cruz,La Calera,3,2,0.24338624338624348
Chile,La Serena,La Calera,3,3,0.22222222222222232
Chile,Los Andes,Los Angeles,2,38,0.12794612794612803
Chile,Quilpue,Quilicura,48,24,0.24338624338624348
Chile,Talcahuano,Talca,34,23,0.16666666666666674
Chile,Valpara<U+00ed>So,Valparaiso,3,33,0.2431372549019608
China,Acheng Qu,Yicheng Qu,12,24,0.10370370370370363
China,Aimin Qu,Aihui Qu,24,12,0.16666666666666674
China,Aksu,Akesu Shi,24,15,0.18518518518518512
China,Aksu City,Aksu,15,6,0.18518518518518512
China,Alashan Zuoqi,Alashanzuo Qi,6,24,0.14801864801864806
China,Ali,Aletai Shi,24,12,0.2333333333333334
China,Alxa,Altay,24,15,0.21666666666666667
China,Anci Qu,Anding Qu,12,24,0.15873015873015883
China,Ankang,Anyang,18,40,0.11111111111111105
China,Ankang Shi,Ankang,18,6,0.1333333333333333
China,Anning District,Shuangqing District,12,24,0.175348627980207
China,Anqing,Anding Qu,24,23,0.20370370370370372
China,Anqing Shi,Ankang Shi,6,6,0.1333333333333333
China,Anshan,Anyang,37,40,0.22222222222222232
China,Anshun,Anshan,37,23,0.11111111111111105
China,Anshun Shi,Anshun,23,12,0.1333333333333333
China,Ansun,Anshun Shi,12,3,0.16666666666666674
China,Anyang,Shenyang,40,53,0.18055555555555558
China,Anyang Xian,Anyang,40,6,0.1515151515151516
China,Anyuan Qu,Qingyuan Qu,12,24,0.12794612794612803
China,Bagongshan Qu,Tangshan,24,49,0.24313186813186816
China,Baicheng,Tacheng,23,24,0.13095238095238093
China,Baicheng Shi,Baicheng,23,6,0.11111111111111116
China,Baijiantan Qu,Baita Qu,12,24,0.16987179487179493
China,Baise,Baishan,12,20,0.20952380952380956
China,Baishan,Taian,20,39,0.20952380952380956
China,Baita Qu,Babu Qu,24,24,0.22023809523809523
China,Baiyin Qu,Baiyin,23,12,0.11111111111111116
China,Baiyin Shi,Baiyin,23,6,0.1333333333333333
China,Baiyun Qu,Suiyang Qu,12,24,0.14537037037037037
China,Banan,Hainan,6,20,0.1777777777777778
China,Banan Qu,Maonan Qu,6,12,0.11574074074074081
China,Bangbu,Bengbu,6,15,0.11111111111111105
China,Baohe Qu,Bagongshan Qu,24,12,0.1955128205128206
China,Baoji,Baoding,46,42,0.20952380952380956
China,Baoji Shi,Baoji,42,6,0.14814814814814825
China,Baoshan,Foshan,15,47,0.15079365079365092
China,Baota Qu,Baohe Qu,12,12,0.16666666666666674
China,Baqiao Qu,Baita Qu,24,12,0.11574074074074081
China,Bayi Qu,Baita Qu,24,24,0.13095238095238093
China,Bazhong,Baoding,46,24,0.19047619047619047
China,Bazhou Qu,Ganzhou Qu,12,24,0.10370370370370363
China,Beibei,Beihai,6,36,0.22222222222222232
China,Beibei District,Qixia District,6,12,0.16031746031746041
China,Beibei Qu,Beibei,6,6,0.11111111111111116
China,Beichen Qu,Hecheng Qu,12,24,0.1333333333333333
China,Beidaihe Qu,Beichen Qu,12,6,0.1575757575757576
China,Beihai,Weihai,36,40,0.11111111111111105
China,Beihu,Beihai,36,12,0.1777777777777778
China,Beihu District,Anning District,12,12,0.2063492063492064
China,Beihu Qu,Beihu,12,12,0.125
China,Beijing Shi,Beijing,65,6,0.12121212121212133
China,Beilin Qu,Bayi Qu,24,24,0.24338624338624348
China,Beilun Qu,Beihu Qu,12,12,0.11574074074074081
China,Beita,Beihai,36,12,0.1777777777777778
China,Beita District,Anning District,12,12,0.2063492063492064
China,Beita Qu,Beita,12,6,0.125
China,Bengbu Shi,Bengbu,15,6,0.1333333333333333
China,Bengshan Qu,Bagongshan Qu,24,24,0.17389277389277402
China,Bijiang Qu,Beilin Qu,24,24,0.17407407407407405
China,Bijie,Beijing,65,20,0.20952380952380956
China,Bincheng Qu,Fancheng Qu,12,24,0.1212121212121211
China,Binhu Qu,Aihui Qu,24,24,0.16666666666666674
China,Binjiang Qu,Baijiantan Qu,12,12,0.1572261072261072
China,Binzhou,Jingzhou,40,42,0.13095238095238093
China,Binzhou Shi,Binzhou,40,6,0.12121212121212133
China,Boshan Qu,Heshan Qu,12,24,0.14814814814814825
China,Bozhou,Binzhou,40,23,0.15079365079365092
China,Bozhou Shi,Bozhou,23,6,0.1333333333333333
China,Caidian Qu,Baiyin Qu,12,12,0.17407407407407405
China,Cangshan Qu,Bengshan Qu,24,12,0.1212121212121211
China,Cangzhou,Guangzhou,49,62,0.11574074074074081
China,Cangzhou Shi,Cangzhou,49,6,0.11111111111111116
China,Central & Western,Central,12,6,0.1960784313725491
China,Chancheng Qu,Fancheng Qu,12,24,0.1525252525252525
China,Chang An Lu,Changshu,12,34,0.23484848484848486
China,Chang An Road,Chang An Lu,12,12,0.1631701631701632
China,Changan Qu,Chancheng Qu,12,12,0.1537037037037038
China,Changchun,Chengdu,50,56,0.24338624338624348
China,Changchun Shi,Changchun,50,6,0.10256410256410253
China,Changde,Chengdu,39,56,0.19047619047619047
China,Changdu,Changshu,12,34,0.13095238095238093
China,Changhua,Changchun,50,7,0.11574074074074081
China,Changji,Changzhi,21,39,0.13095238095238093
China,Changji Huizuzizhizhou,Changji,21,12,0.2272727272727273
China,Changji Shi,Changji,21,12,0.12121212121212133
China,Changjiang Qu,Yangjiang,24,37,0.16524216524216528
China,Changping Qu,Changan Qu,12,12,0.1166666666666667
China,Changqing Qu,Changan Qu,12,6,0.1166666666666667
China,Changsha,Shanghai,48,62,0.16666666666666674
China,Changsha Xian,Changsha,48,6,0.1282051282051282
China,Changshu,Changchun,50,34,0.11574074074074081
China,Changshu Shi,Changshu,34,6,0.11111111111111116
China,Changyi Qu,Changping Qu,12,12,0.1166666666666667
China,Changzhi,Changzhou,39,48,0.11574074074074081
China,Changzhi Shi,Changzhi,39,12,0.11111111111111116
China,Changzhou,Hangzhou,48,49,0.11574074074074081
China,Changzhou Qu,Zhangzhou,24,32,0.14814814814814825
China,Changzhou Shi,Changchun Shi,6,6,0.10256410256410253
China,Chaonan Qu,Changjiang Qu,24,12,0.13589743589743586
China,Chaoyang,Liaoyang,12,23,0.16666666666666674
China,Chaoyang Qu,Chaonan Qu,12,12,0.13097643097643097
China,Chaoyang Shi,Chaoyang,12,6,0.11111111111111116
China,Chaozhou,Changzhou,48,43,0.11574074074074081
China,Chencang Qu,Fancheng Qu,12,24,0.14393939393939392
China,Cheng Guan Qu,Chencang Qu,12,12,0.20722610722610724
China,Chengbei District,Shuangqing District,12,24,0.1836945304437565
China,Chengbei Qu,Changyi Qu,12,12,0.1575757575757576
China,Chenggong Qu,Changan Qu,12,12,0.1777777777777778
China,Chengguan Qu,Cheng Guan Qu,12,12,0.13966588966588966
China,Chenghai Qu,Chengbei Qu,12,12,0.1212121212121211
China,Chenghua Qu,Chenghai Qu,12,12,0.12727272727272732
China,Chengqu,Chengxi Qu,6,12,0.18095238095238098
China,Chengxi Qu,Changyi Qu,12,12,0.1333333333333333
China,Chengxiang,Chongqing,12,50,0.17407407407407405
China,Chengxiang District,Chengbei District,12,6,0.10939112487100111
China,Chengxiang Qu,Chengguan Qu,12,12,0.12451437451437453
China,Chengyang District,Beita District,12,12,0.20105820105820116
China,Chengzhong District Liuzhou,Chengyang District,12,6,0.1728395061728396
China,"Chengzhong District, Liuzhou",Chengyang District,12,6,0.17989417989417988
China,Chenzhou,Changzhou,48,17,0.11574074074074081
China,Chiayi City,Chiayi,16,3,0.1515151515151516
China,Chifeng,Chengde,44,42,0.19047619047619047
China,Chifeng Shi,Chifeng,42,6,0.12121212121212133
China,Chikan Qu,Changyi Qu,12,12,0.16620370370370363
China,Chizhou,Changzhou,48,28,0.15873015873015883
China,Chizhou Shi,Changzhou Shi,6,6,0.10722610722610726
China,Chong Chuan Qu,Cheng Guan Qu,12,6,0.12271062271062272
China,Chongchuan Qu,Chenghua Qu,12,12,0.10722610722610726
China,Chongli Qu,Changyi Qu,12,12,0.1333333333333333
China,Chongqing Shi,Chongqing,50,6,0.10256410256410253
China,Chongzuo,Changzhou,48,18,0.16335978835978837
China,Chongzuo Shi,Chongzuo,18,6,0.11111111111111116
China,Chuan Sha,Changsha,48,12,0.19444444444444453
China,Chuanhui Qu,Changzhou Qu,24,24,0.14393939393939392
China,Chuanshan,Changsha,48,12,0.11574074074074081
China,Chuanshan District,Chuanshan,12,12,0.16666666666666674
China,Chuanshan Qu,Changan Qu,12,12,0.1166666666666667
China,Chuanying Qu,Changyi Qu,12,12,0.10555555555555551
China,Chuxiong,Chifeng,42,29,0.22023809523809523
China,Chuxiong Shi,Chuxiong,29,12,0.11111111111111116
China,Chuzhou,Changzhou,48,26,0.15873015873015883
China,Chuzhou Shi,Chuzhou,26,12,0.12121212121212133
China,Conghua Qu,Tongchuan Qu,12,24,0.1166666666666667
China,Congtai Qu,Chongli Qu,12,12,0.1333333333333333
China,Cuiping,Siping,6,20,0.15079365079365092
China,Cuiping District,Qixing District,6,12,0.10694444444444451
China,Cuiping Qu,Muping Qu,6,12,0.14537037037037037
China,Da Tong Qu,Hualong Qu,12,24,0.20000000000000007
China,Daan Qu,Caidian Qu,12,12,0.18095238095238098
China,Daguan Qu,Dachuan Qu,24,24,0.10370370370370363
China,Dali,Dalian,24,47,0.11111111111111116
China,Dali Shi,Dali,24,12,0.16666666666666674
China,Dalian Shi,Dalian,47,6,0.1333333333333333
China,Dandong,Nantong,37,46,0.19047619047619047
China,Danjiangkou,Zhangjiakou,24,43,0.19528619528619529
China,Danlong Road,Shuanglin Road,6,12,0.20079365079365086
China,Dantu Qu,Daguan Qu,24,12,0.16335978835978837
China,Daoli,Dalian,47,6,0.1777777777777778
China,Daoli District,Louxing District,6,12,0.17559523809523814
China,Daoli Qu,Dongli Qu,6,12,0.11574074074074081
China,Daqing,Zhaoqing,35,43,0.18055555555555558
China,Datong Qu,Datong,39,6,0.11111111111111116
China,Datong Shi,Datong,39,6,0.1333333333333333
